forest_risk_id,severity_id,fri,fti,sdr,WHP
2857,5837,-21.76330185,0.002336091,"Med, 56-74",332
2858,5838,-3.818113089,0.000660168,"Slow, 0-25",303
2859,5841,-688.1361694,0.074745215,"Slow, 41-55",1208
2860,5845,-42.08900833,0.005144,"Fast, 41-55",2030
2861,5846,-38.65903091,0.004014731,"Slow, 41-55",2400
2862,5847,-728.661499,0.079147831,"Fast, 41-55",358
2863,5849,-14.14297771,0.005346294,"Fast, 0-25",9373
2864,5853,-259.4621887,0.028183006,"Slow, 41-55",358
2865,5854,-4.001945496,0.001605787,"Fast, 26-40",2787
2866,5860,-2.26016283,0.000735939,"Fast, 0-25",212
2867,5861,-7.82760334,0.001510883,"Fast, 26-40",435
2868,5865,-33.4498024,0.004576777,"Slow, 26-40",8735
2869,5869,-44.7680397,0.004868929,"Fast, 41-55",3111
2870,5872,-22.90350151,0.014716345,"Fast, 0-25",687
2871,5874,-17.36636734,0.006660026,"Fast, 0-25",6814
2872,5875,-1.084945083,0.000139437,"Med, 41-55",1908
2873,5876,-20.39915657,0.00336899,"Slow, 0-25",2146
2874,5878,-2.586562872,0.00048401,"Med, 26-40",71
2875,5879,-2.491402626,0.00041864,"Slow, 0-25",1959
2876,5880,-18.69524574,0.003664685,"Fast, 26-40",1210
2877,5882,-35.67763901,0.013682421,"Fast, 0-25",9142
2878,5883,-165.0303955,0.020770609,"Med, 41-55",2296
2879,5884,-827.0004272,0.01826326,"Slow, 56-74",2507
2880,5886,-421.2047424,0.046641577,"Med, 75+",2350
2881,5889,-159.3170013,0.016545031,"Slow, 41-55",5182
2882,5893,-91.45513916,0.059016649,"Fast, 0-25",1018
2883,5894,-5.26541996,0.001412727,"Med, 0-25",1505
2884,5895,-11.22341061,0.000887848,"Slow, 41-55",332
2885,5896,-33.93967819,0.003725584,"Slow, 26-40",599
2886,5897,-550.4910278,0.059780091,"Slow, 41-55",313
2887,5901,-166.7120667,0.019600777,"Fast, 41-55",1756
2888,5904,-9.392567635,0.000900609,"Slow, 56-74",682
2889,5907,-16.73345947,0.001903061,"Med, 56-74",1784
2890,5909,-1.208865523,0.000227379,"Med, 26-40",46
2891,5911,-81.1164856,0.01509399,"Med, 26-40",820
2892,5912,-5.713625431,0.000832112,"Slow, 26-40",1988
2893,5913,-268.6731567,0.02570306,"Slow, 56-74",688
2894,5914,-17.04958534,0.003193695,"Med, 26-40",86
2895,5915,-1.309165716,0.00039367,"Med, 0-25",412
2896,5916,-4.677260399,0.001325756,"Med, 0-25",191
2897,5919,-0.199503154,0.0000373,"Med, 26-40",160
2898,5922,-0.069897279,0.0000131,"Med, 41-55",87
2899,5923,-63.79554367,0.025020955,"Fast, 0-25",7295
2900,5924,-3.34197402,0.000344706,"Slow, 26-40",576
2901,5925,-7.983232021,0.00116264,"Slow, 26-40",1717
2902,5926,-16.03590965,0.002194117,"Slow, 26-40",257
2903,5927,-9.671600342,0.001333081,"Slow, 26-40",2274
2904,5931,-17.59594917,0.00326406,"Med, 26-40",215
2905,5934,-113.8745117,0.013916747,"Fast, 41-55",3718
2906,5937,-263.4175415,0.032522544,"Fast, 41-55",234
2907,5938,-8.717719078,0.000913822,"Slow, 41-55",1681
2908,5940,-78.84355164,0.015456716,"Fast, 26-40",1591
2909,5942,-6.417385101,0.00081335,"Slow, 0-25",539
2910,5943,-0.729529262,0.000219792,"Med, 0-25",705
2911,5944,-16.27028847,0.006208167,"Fast, 0-25",1508
2912,5950,-2.554556131,0.000582025,"Med, 0-25",466
2913,5955,-123.9186172,0.021999361,"Slow, 0-25",1261
2914,5956,-259.4385376,0.025792578,"Slow, 56-74",3528
2915,5957,-22.56341934,0.003090645,"Slow, 26-40",1590
2916,5959,-44.61327744,0.017776996,"Fast, 0-25",3194
2917,5960,-2.073988199,0.000361888,"Med, 26-40",136
2918,5962,-1.274102569,0.000164183,"Med, 41-55",282
2919,5963,-9.017303467,0.003536635,"Fast, 0-25",3549
2920,5964,-0.802226484,0.000150893,"Med, 26-40",590
2921,5965,-3.275206327,0.000361924,"Slow, 41-55",89
2922,5968,-162.5827332,0.028672846,"Slow, 0-25",2362
2923,5970,-8.302838326,0.001374838,"Med, 26-40",7772
2924,5971,-2.695204735,0.000823128,"Slow, 0-25",254
2925,5972,-11.17150784,0.002112888,"Med, 26-40",114
2926,5973,-7.918701649,0.001330761,"Slow, 0-25",596
2927,5976,-12.31880283,0.001615416,"Slow, 26-40",1259
2928,5977,-0.882742822,0.000167716,"Med, 26-40",64
2929,5979,-0.430652738,0.000132494,"Med, 0-25",173
2930,5980,-237.6507111,0.025537955,"Slow, 26-40",1557
2931,5981,-0.845521212,0.00036202,"Fast, 0-25",152
2932,5982,-5.992860317,0.00063669,"Med, 56-74",117
2933,5986,-0.338054985,0.0000625,"Slow, 0-25",466
2934,5987,-5.000296593,0.000886279,"Slow, 0-25",2305
2935,5988,-10.34209156,0.001506173,"Slow, 26-40",1391
2936,5989,-4.442858219,0.000816264,"Med, 26-40",355
2937,5990,-138.7537689,0.02463997,"Slow, 0-25",4504
2938,5991,-14.33162594,0.002835569,"Fast, 26-40",898
2939,5997,-32.83193588,0.013301346,"Fast, 0-25",215
2940,6000,-45.31551743,0.004731457,"Slow, 41-55",85
2941,6001,-20.70215225,0.00341931,"Slow, 0-25",285
2942,6002,-188.9980011,0.033556484,"Slow, 0-25",506
2943,6005,-7.97630167,0.003015183,"Fast, 0-25",1055
2944,6007,-3.378389597,0.000597701,"Slow, 0-25",1296
2945,6008,-2.547480583,0.000767503,"Fast, 0-25",429
2946,6009,-0.066872254,0.0000201,"Med, 0-25",32
2947,6010,-53.29951096,0.005389553,"Fast, 56-74",398
2948,6012,-6.522508144,0.002501391,"Fast, 0-25",23
2949,6013,-1.032977223,0.000175624,"Slow, 0-25",459
2950,6017,-8.792604446,0.005017249,"Fast, 0-25",1050
2951,6019,-38.77827835,0.006810904,"Slow, 0-25",1377
2952,6021,-10.4371109,0.002010431,"Slow, 0-25",1774
2953,6024,-30.40145874,0.01149433,"Fast, 0-25",872
2954,6025,-1.832377911,0.00033268,"Med, 26-40",68
2955,6027,-12.33718681,0.002439,"Fast, 26-40",1936
2956,6028,-50.86278534,0.006546736,"Med, 41-55",100
2957,6029,-5.032414913,0.001931924,"Fast, 0-25",2331
2958,6030,-2.39489007,0.000927595,"Slow, 0-25",892
2959,6032,-17.5766449,0.001871036,"Med, 75+",702
2960,6033,-4.085531235,0.000722807,"Slow, 0-25",4069
2961,6035,-4.165252686,0.000538147,"Med, 41-55",189
2962,6037,-4.459041595,0.001106051,"Med, 0-25",238
2963,6038,-38.74178696,0.004753452,"Slow, 26-40",1124
2964,6040,-85.44009399,0.022923812,"Slow, 56-74",890
2965,6047,-119.9757996,0.014524112,"Med, 41-55",824
2966,6050,-268.5833435,0.027377451,"Fast, 56-74",2865
2967,6052,-138.7970123,0.016081994,"Med, 56-74",597
2968,6055,-1.235130429,0.000379213,"Med, 0-25",329
2969,6056,-138.8107605,0.003411328,"Slow, 0-25",225
2970,6057,-0.398478955,0.000251152,"Fast, 0-25",103
2971,6060,-48.36859131,0.006308396,"Fast, 41-55",434
2972,6061,-21.02303505,0.004121112,"Fast, 26-40",6521
2973,6063,-52.67126846,0.005549163,"Slow, 41-55",245
2974,6064,-5.487404346,0.000992376,"Slow, 26-40",4483
2975,6066,-68.35312653,0.007857213,"Med, 56-74",2140
2976,6067,-46.17317963,0.00394465,"Slow, 41-55",114
2977,6069,-19.06897354,0.003737944,"Fast, 41-55",257
2978,6071,-4.737526894,0.000912558,"Slow, 0-25",3038
2979,6072,-107.3082428,0.010438548,"Fast/Slow, 75+",1285
2980,6074,-0.646918356,0.000319497,"Fast, 0-25",4110
2981,6075,-149.6254578,0.014862365,"Slow, 56-74",1850
2982,6077,-323.3514099,0.035114065,"Slow, 41-55",335
2983,6080,-81.81038666,0.009206132,"Slow, 41-55",114
2984,6084,-2.053801775,0.00038566,"Med, 26-40",369
2985,6085,-2.637122631,0.000686885,"Med, 26-40",178
2986,6087,-105.2090988,0.015933705,"Fast, 26-40",97
2987,6088,-0.62428546,0.00011697,"Med, 26-40",395
2988,6090,-38.04346085,0.003849736,"Fast, 56-74",2373
2989,6091,-373.834137,0.041181166,"Fast/Slow, 75+",268
2990,6092,-51.68408585,0.006685239,"Med, 41-55",1062
2991,6094,-9.57631588,0.001808139,"Med, 26-40",90
2992,6096,-0.304047108,0.000191975,"Fast, 0-25",289
2993,6098,-172.4790802,0.020295087,"Slow, 56-74",2770
2994,6100,-95.76233673,0.00932434,"Slow, 56-74",642
2995,6104,-0.17239441,0.0000304,"Slow, 0-25",83
2996,6107,-0.275761873,0.0000521,"Med, 26-40",107
2997,6108,-0.639926016,0.00019001,"Med, 0-25",864
2998,6109,-89.66762543,0.009413807,"Slow, 41-55",3434
2999,6112,-8.371822357,0.000902944,"Slow, 41-55",71
3000,6118,-10.06093502,0.001165731,"Med, 41-55",418
3001,6120,-1.890903354,0.000355071,"Med, 26-40",921
3002,6121,-8.863099098,0.001753599,"Fast, 26-40",3124
3003,6123,-124.6496506,0.014343209,"Med, 56-74",1549
3004,6124,-41.32884216,0.006622954,"Fast, 26-40",2050
3005,6125,-74.97488403,0.013323482,"Slow, 0-25",1520
3006,6126,-114.6636276,0.017265826,"Fast, 0-25",5549
3007,6127,-34.39703369,0.00203335,"Fast, 0-25",106
3008,6128,-56.10075378,0.005508817,"Fast/Slow, 75+",816
3009,6130,-28.90546989,0.002765289,"Slow, 56-74",1590
3010,6132,-125.5662079,0.017188288,"Med, 26-40",2257
3011,6138,-0.458776057,0.000302964,"Fast, 0-25",320
3012,6139,-302.0713806,0.041340381,"Slow, 26-40",5140
3013,6141,-35.05330658,0.004831559,"Slow, 26-40",6508
3014,6142,-27.162323,0.005324421,"Fast, 26-40",7219
3015,6145,-1.912531972,0.000371,"Slow, 0-25",1020
3016,6149,-14.20407581,0.005369924,"Fast, 0-25",722
3017,6150,-59.95629501,0.006867198,"Med, 56-74",1203
3018,6151,-107.2569809,0.016155152,"Slow, 26-40",5762
3019,6154,-36.25741577,0.007108436,"Fast, 26-40",1712
3020,6160,-21.81494141,0.003831513,"Slow, 0-25",1164
3021,6163,-1492.504272,0.162115529,"Slow, 41-55",468
3022,6166,-7.600381851,0.001038777,"Slow, 26-40",1381
3023,6167,-36.46465683,0.004781939,"Slow, 26-40",2209
3024,6169,-116.171257,0.011570299,"Slow, 56-74",1255
3025,6170,-78.49030304,0.015385142,"Fast, 26-40",686
3026,6172,-23.59557343,0.008919543,"Fast, 0-25",873
3027,6174,-88.43451691,0.00956898,"Med, 41-55",2372
3028,6177,-11.32834435,0.001548254,"Slow, 26-40",1490
3029,6178,-31.23675919,0.003515959,"Slow, 41-55",955
3030,6179,-0.172206402,0.0000324,"Fast, 26-40",69
3031,6180,-0.175618172,0.000054,"Med, 0-25",1242
3032,6181,-248.1272125,0.044058453,"Fast, 0-25",726
3033,6182,-100.620079,0.019722873,"Fast, 26-40",481
3034,6183,-92.05186462,0.012014969,"Slow, 26-40",280
3035,6185,-45.69864273,0.004623843,"Fast, 56-74",665
3036,6188,-2.598796368,0.000495716,"Slow, 0-25",2170
3037,6189,-27.37755394,0.003886178,"Med, 0-25",1513
3038,6191,-0.103045441,0.0000657,"Fast, 0-25",66
3039,6195,-695.3240967,0.136292756,"Fast, 26-40",332
3040,6196,-16.15912247,0.00198797,"Fast, 41-55",3171
3041,6197,-283.8145752,0.06190009,"Fast, 0-25",1916
