str_id,severity_id,wwacbd,wwacbh,wwacc,wwach,wwafuel13,wwafuel40
3648,7538,27,13,35,25,5,145
3649,7542,6,7,35,57,8,183
3650,7543,11,13,55,57,10,165
3651,7545,25,13,45,57,8,183
3652,7549,11,7,55,57,10,165
3653,7552,19,13,25,25,2,122
3654,7555,27,13,35,25,5,145
3655,7556,19,13,25,8,2,122
3656,7559,19,13,25,25,2,122
3657,7560,19,13,25,25,2,122
3658,7563,19,13,25,8,2,122
3659,7566,1,144,45,25,6,147
3660,7570,19,13,25,25,2,122
3661,7572,19,13,25,25,2,122
3662,7573,1,263,45,57,8,161
3663,7574,27,13,35,25,2,121
3664,7575,16,13,65,57,10,165
3665,7577,8,13,45,57,8,161
3666,7578,19,13,25,25,5,145
3667,7579,14,13,15,25,8,101
3668,7584,14,13,15,8,8,101
3669,7588,6,13,35,57,5,122
3670,7589,11,13,55,57,10,165
3671,7594,38,13,45,25,8,183
3672,7595,27,13,35,25,5,145
3673,7597,38,13,45,25,8,183
3674,7598,11,13,55,57,10,165
3675,7599,14,13,15,8,2,122
3676,7601,14,13,15,8,1,101
3677,7602,1,263,65,57,8,161
3678,7603,8,20,45,57,8,183
3679,7604,1,144,15,25,2,121
3680,7605,1,263,25,57,2,121
3681,7606,1,144,45,25,6,147
3682,7607,1,263,45,57,8,161
3683,7608,1,144,55,25,6,147
3684,7609,18,13,35,57,8,183
3685,7611,1,144,35,25,2,122
3686,7612,8,13,45,57,8,161
3687,7614,19,13,25,25,2,122
3688,7616,1,144,35,25,2,121
3689,7617,1,144,45,25,6,147
3690,7618,11,20,55,57,10,165
3691,7619,1,144,55,25,6,147
3692,7620,8,13,45,57,8,161
3693,7621,1,263,25,57,2,121
3694,7622,1,263,55,57,8,161
3695,7623,27,13,35,25,5,145
3696,7624,1,144,35,25,2,121
3697,7626,4,16,25,57,8,183
3698,7630,1,263,55,57,8,161
3699,7632,8,20,45,57,10,165
3700,7633,1,144,45,25,6,147
3701,7634,27,13,35,25,5,145
3702,7636,19,13,25,25,2,122
3703,7637,11,13,55,57,10,165
3704,7642,19,13,25,8,2,122
3705,7643,19,13,25,8,2,122
3706,7645,1,263,35,57,2,121
3707,7647,1,263,35,57,2,121
