forest_topo_id,severity_id,asp,dem,slope
39416,81566,South,1813,32
39417,81567,North,2987,32
39418,81570,North,1910,22
39419,81571,North,1889,32
39420,81574,East,2214,22
39421,81575,West,2675,64
39422,81576,North,2167,0
39423,81578,South,2153,22
39424,81580,West,1890,22
39425,81581,South,2474,22
39426,81583,West,1865,0
39427,81586,West,2627,0
39428,81587,East,1698,0
39429,81589,West,1835,22
39430,81590,West,2786,64
39431,81591,West,2865,32
39432,81592,North,1819,22
39433,81593,North,2501,22
39434,81594,East,1664,0
39435,81597,East,2518,64
39436,81599,West,2318,64
39437,81601,South,1795,44
39438,81603,North,1899,32
39439,81605,East,1877,22
39440,81606,North,2902,22
39441,81609,West,1793,22
39442,81611,North,2563,90
39443,81612,South,1823,32
39444,81616,South,2752,32
39445,81619,West,1849,64
39446,81623,West,2130,32
39447,81624,South,1983,32
39448,81626,West,2697,90
39449,81627,West,1853,22
39450,81629,West,2653,44
39451,81637,East,3174,0
39452,81639,East,2745,0
39453,81640,East,2229,64
39454,81641,East,2045,22
39455,81644,East,2335,44
39456,81645,East,2643,32
39457,81647,West,2135,32
39458,81650,West,2357,90
39459,81651,North,1887,44
39460,81657,East,2146,64
39461,81660,East,1965,32
39462,81662,South,1837,22
39463,81664,East,2389,44
39464,81666,East,2624,0
39465,81668,West,1858,22
39466,81669,East,1939,32
39467,81670,West,2366,32
39468,81671,East,2767,44
39469,81672,West,1978,64
39470,81674,East,2924,64
39471,81676,East,2039,44
39472,81677,East,3020,22
39473,81678,North,2431,32
39474,81680,North,2301,64
39475,81686,North,2238,44
39476,81688,North,2789,44
39477,81693,North,2518,22
39478,81701,North,2681,64
39479,81702,East,2450,22
39480,81704,East,2462,32
39481,81705,East,2192,22
39482,81708,South,2478,32
39483,81709,West,2354,64
39484,81711,North,1915,32
39485,81712,North,2811,44
39486,81715,West,3023,64
39487,81717,South,2039,32
39488,81718,East,2786,44
39489,81721,West,2147,32
39490,81722,West,2433,32
39491,81723,East,2266,44
39492,81724,West,1720,22
39493,81725,East,1902,22
39494,81728,North,2604,32
39495,81729,West,1646,0
39496,81731,North,1934,22
39497,81732,East,2679,90
39498,81733,North,2835,44
39499,81734,North,2399,32
39500,81736,West,2068,44
39501,81737,South,2276,44
39502,81741,South,2479,44
39503,81742,East,2074,32
39504,81743,South,2717,64
39505,81744,West,2026,32
39506,81745,North,2811,32
39507,81747,East,2312,32
39508,81754,South,1831,44
39509,81760,South,2218,90
39510,81761,North,2371,44
39511,81762,South,2805,0
39512,81765,East,2188,22
39513,81766,East,2496,32
39514,81767,North,2482,44
39515,81768,West,2444,32
39516,81770,East,2371,90
39517,81772,North,2094,32
39518,81773,East,1943,44
39519,81774,West,1976,22
39520,81778,East,2317,32
39521,81784,West,2818,44
39522,81785,North,2950,0
39523,81786,North,2056,32
39524,81787,North,1933,64
39525,81788,South,2195,32
39526,81789,North,1929,64
39527,81790,West,1661,0
39528,81791,South,1619,22
39529,81792,North,2468,64
39530,81793,South,2553,44
39531,81794,West,2631,64
39532,81797,North,1766,32
39533,81799,East,2951,32
39534,81800,North,2245,22
39535,81801,East,2071,22
39536,81804,South,2260,44
39537,81808,South,2112,22
39538,81809,West,1804,22
39539,81813,South,2342,22
39540,81815,North,2949,64
39541,81816,East,2025,44
39542,81817,East,2662,90
39543,81819,South,2531,64
39544,81820,West,2724,64
39545,81821,West,2592,44
39546,81822,West,2224,44
39547,81824,South,2831,44
39548,81826,East,2114,64
39549,81830,North,2291,32
39550,81831,North,2362,44
39551,81834,East,1978,22
39552,81836,North,2208,32
39553,81837,West,1779,22
39554,81838,West,2367,64
39555,81840,East,2010,32
39556,81841,West,2202,32
39557,81843,North,2892,44
39558,81845,North,1748,32
39559,81846,West,2299,64
39560,81848,East,2003,44
39561,81851,East,2078,32
39562,81855,West,2914,32
39563,81862,North,2655,32
39564,81863,North,2622,32
39565,81864,West,2444,0
39566,81866,South,2210,22
39567,81867,South,2337,22
39568,81870,West,3205,22
39569,81872,East,2168,44
39570,81875,East,1933,22
39571,81877,South,2731,64
39572,81879,North,2649,44
39573,81881,North,2937,22
39574,81882,East,2117,32
39575,81883,North,2630,0
39576,81884,East,2392,32
39577,81885,West,2496,32
39578,81886,East,2084,32
39579,81887,East,2694,44
39580,81889,North,1939,44
39581,81891,West,1852,44
39582,81893,West,1755,22
39583,81894,East,2168,64
39584,81896,North,1960,32
39585,81897,North,2856,22
39586,81901,North,2251,90
39587,81902,North,1847,44
39588,81907,South,2118,44
39589,81910,South,1669,32
39590,81911,West,1902,32
39591,81912,South,2340,44
39592,81913,North,2459,64
39593,81915,North,2302,22
39594,81918,East,2158,44
39595,81920,North,2009,32
39596,81924,North,2923,22
39597,81927,South,2290,32
39598,81931,North,2340,32
39599,81933,South,2577,44
39600,81934,West,2261,32
39601,81935,East,1891,44
39602,81936,South,1860,44
39603,81937,East,2045,22
39604,81938,South,1915,22
39605,81941,North,1817,44
39606,81943,West,2854,32
39607,81944,East,1830,32
39608,81945,East,1871,22
39609,81947,East,2853,64
39610,81948,East,2887,22
39611,81949,North,2686,22
39612,81950,East,2192,44
39613,81951,West,2232,64
39614,81953,South,2126,32
39615,81956,South,2418,22
39616,81957,West,2616,64
39617,81958,North,2481,44
39618,81960,North,2612,64
39619,81961,West,1530,44
39620,81964,North,2365,44
39621,81966,East,2031,64
39622,81967,North,2629,44
39623,81969,East,2128,32
39624,81970,West,2583,44
39625,81972,North,2263,32
39626,81973,East,2909,64
39627,81974,East,2710,22
39628,81975,South,2127,44
39629,81979,North,2452,32
39630,81981,East,1713,64
39631,81982,West,1987,22
39632,81986,East,1890,22
39633,81987,South,1770,22
39634,81988,North,2897,32
39635,81989,North,2200,0
39636,81991,South,3004,0
39637,81992,North,1802,22
39638,81993,North,2818,32
39639,81997,North,3171,22
39640,82000,West,2761,64
39641,82003,North,1843,44
39642,82005,North,1692,64
39643,82007,East,2520,44
39644,82009,North,2328,44
39645,82010,South,2183,0
39646,82013,East,1706,0
39647,82023,South,2724,44
39648,82025,West,1715,22
39649,82028,South,2454,22
39650,82029,West,2130,32
39651,82031,North,2687,22
39652,82032,East,2370,32
39653,82034,West,2438,32
39654,82043,South,2262,44
39655,82044,West,2399,44
39656,82047,North,2378,64
39657,82049,East,1918,0
39658,82052,West,2868,32
39659,82054,North,2207,90
39660,82056,East,2595,44
39661,82057,North,2237,64
39662,82060,North,3047,32
39663,82061,South,2854,64
39664,82062,West,2895,44
39665,82067,East,2140,32
39666,82069,North,2148,22
39667,82070,East,2723,22
39668,82072,West,2227,44
39669,82073,West,2281,22
39670,82077,South,2465,32
39671,82085,North,2577,44
39672,82087,North,2879,44
39673,82090,East,1728,22
39674,82091,North,2505,22
39675,82092,East,2443,44
39676,82093,West,2930,22
39677,82094,West,2776,64
39678,82095,North,2690,32
39679,82096,North,3063,22
39680,82100,North,2115,32
39681,82101,South,1702,22
39682,82102,North,3091,44
39683,82103,North,2297,32
39684,82106,East,2197,44
39685,82109,South,2961,32
39686,82110,West,2603,32
39687,82111,West,2470,32
39688,82112,South,2088,22
39689,82116,West,2931,22
39690,82120,North,2675,0
39691,82121,East,3026,22
39692,82122,North,2570,44
39693,82125,East,2561,44
39694,82126,West,2285,22
39695,82129,South,2224,22
39696,82131,North,2320,44
39697,82132,South,1849,22
39698,82133,East,2461,90
39699,82134,East,3009,22
39700,82137,South,1712,22
39701,82139,East,2414,32
39702,82142,East,2177,64
39703,82145,West,2394,32
39704,82146,North,1973,22
39705,82155,West,2499,32
39706,82157,North,2417,22
39707,82158,South,2888,22
39708,82159,West,2200,22
39709,82161,East,2345,32
39710,82163,West,1960,64
39711,82164,East,2112,44
39712,82165,East,2513,90
39713,82166,North,2178,22
39714,82168,South,1779,44
39715,82170,North,2373,32
39716,82171,South,2656,32
39717,82175,South,2125,44
39718,82176,West,2274,32
39719,82178,South,1927,22
39720,82179,South,2124,32
39721,82183,East,1884,44
39722,82184,South,2090,64
39723,82185,North,2031,22
39724,82186,East,2137,22
39725,82188,North,2484,64
39726,82189,West,2423,44
39727,82192,North,2429,64
39728,82193,East,2817,44
39729,82194,East,2687,22
39730,82195,East,1798,22
39731,82196,West,2029,44
39732,82204,South,2148,44
39733,82212,West,1762,22
39734,82213,South,1991,32
39735,82214,South,2630,32
39736,82216,East,2403,44
39737,82217,South,1997,44
39738,82218,East,2618,44
39739,82219,North,2372,64
39740,82221,East,2895,22
39741,82223,East,2244,32
39742,82224,South,2889,0
39743,82228,East,3016,22
39744,82230,West,1981,0
39745,82232,East,2127,32
39746,82233,North,2302,22
39747,82234,West,2595,44
39748,82237,West,2693,64
39749,82238,North,2075,22
39750,82242,North,2512,44
39751,82243,North,2280,32
39752,82247,South,2694,22
39753,82248,North,2439,32
39754,82250,East,2388,0
39755,82252,West,2415,32
39756,82256,East,2164,32
39757,82257,East,2447,22
39758,82258,North,2922,32
39759,82259,North,1924,32
39760,82261,North,1712,22
39761,82262,South,2689,22
39762,82263,North,1591,22
39763,82266,North,3017,32
39764,82268,East,1880,32
39765,82275,East,3053,32
39766,82281,East,3023,32
39767,82282,West,2917,32
39768,82284,West,2487,90
39769,82285,North,1758,22
39770,82286,West,2277,22
39771,82288,North,2015,44
39772,82289,East,1825,64
39773,82292,North,2552,44
39774,82295,West,2714,32
39775,82296,West,1987,22
39776,82298,South,2451,32
39777,82302,East,3120,32
39778,82312,South,1897,22
39779,82313,West,2790,32
39780,82314,East,2438,22
39781,82316,North,2002,64
39782,82317,North,2137,32
39783,82319,West,2588,0
39784,82320,North,1880,32
39785,82321,East,2060,64
39786,82322,East,2591,22
39787,82324,South,1881,22
39788,82325,North,2486,32
39789,82327,North,2394,22
39790,82328,North,2981,32
39791,82330,North,2457,44
39792,82332,North,2091,64
39793,82334,North,2450,0
39794,82338,West,1911,44
39795,82339,West,2721,32
39796,82340,West,1964,22
39797,82341,South,2926,64
39798,82343,North,1890,22
39799,82344,West,3083,22
39800,82345,East,3002,64
39801,82350,East,1611,22
39802,82352,East,2375,32
39803,82361,West,2125,32
39804,82362,North,2833,22
39805,82364,North,1687,32
39806,82366,South,2945,22
39807,82367,North,2487,32
39808,82369,North,3046,22
39809,82370,West,2634,44
39810,82373,West,1920,22
39811,82375,South,2205,44
39812,82376,North,1916,22
39813,82378,West,1689,22
39814,82379,North,2344,22
39815,82381,North,1870,90
39816,82383,North,1690,32
39817,82385,North,1929,22
39818,82386,West,2997,32
39819,82389,East,2102,22
39820,82391,West,2607,44
39821,82394,West,2258,22
39822,82395,South,1610,44
39823,82396,South,2483,22
39824,82397,North,2725,32
39825,82398,North,2381,44
39826,82401,West,1618,0
39827,82403,South,2930,44
39828,82404,South,1570,0
39829,82405,East,2530,22
39830,82407,East,2446,64
39831,82408,South,2809,32
39832,82410,West,1928,22
39833,82412,West,2351,44
39834,82414,North,2768,44
39835,82416,North,1800,32
39836,82417,South,2682,64
39837,82419,East,2592,22
39838,82421,East,2549,22
39839,82422,South,2102,32
39840,82424,South,2889,32
39841,82425,North,2179,22
39842,82427,East,2235,44
39843,82432,East,2278,64
39844,82433,South,2606,44
39845,82435,North,2025,22
39846,82442,West,2096,22
39847,82444,East,1813,64
39848,82445,North,2280,32
39849,82451,South,1988,44
